antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'abnormal menstruation'}),"frozenset({'mood swings', 'irritability', 'fatigue'})",0.04878048780487805,0.042682926829268296,0.042682926829268296,0.875,20.5,1.0,0.04060083283759667,7.658536585365853,1.0,0.8750000000000001,0.8694267515923567,0.9375
frozenset({'abnormal menstruation'}),frozenset({'mood swings'}),0.04878048780487805,0.046341463414634146,0.046341463414634146,0.95,20.5,1.0,0.04408090422367638,19.0731707317073,1.0,0.95,0.9475703324808183,0.975
"frozenset({'mood swings', 'irritability'})",frozenset({'abnormal menstruation'}),0.046341463414634146,0.04878048780487805,0.046341463414634146,1.0,20.5,1.0,0.04408090422367638,inf,0.9974424552429668,0.95,1.0,0.975
"frozenset({'mood swings', 'fatigue'})",frozenset({'abnormal menstruation'}),0.042682926829268296,0.04878048780487805,0.042682926829268296,1.0,20.5,1.0,0.04060083283759667,inf,0.9936305732484076,0.8750000000000001,1.0,0.9375
"frozenset({'irritability', 'abnormal menstruation'})","frozenset({'mood swings', 'fatigue'})",0.04878048780487805,0.042682926829268296,0.042682926829268296,0.875,20.5,1.0,0.04060083283759667,7.658536585365853,1.0,0.8750000000000001,0.8694267515923567,0.9375
"frozenset({'mood swings', 'fatigue'})","frozenset({'irritability', 'abnormal menstruation'})",0.042682926829268296,0.04878048780487805,0.042682926829268296,1.0,20.5,1.0,0.04060083283759667,inf,0.9936305732484076,0.8750000000000001,1.0,0.9375
frozenset({'mood swings'}),"frozenset({'irritability', 'abnormal menstruation'})",0.046341463414634146,0.04878048780487805,0.046341463414634146,1.0,20.5,1.0,0.04408090422367638,inf,0.9974424552429668,0.95,1.0,0.975
"frozenset({'irritability', 'abnormal menstruation'})",frozenset({'mood swings'}),0.04878048780487805,0.046341463414634146,0.046341463414634146,0.95,20.5,1.0,0.04408090422367638,19.0731707317073,1.0,0.95,0.9475703324808183,0.975
frozenset({'mood swings'}),frozenset({'abnormal menstruation'}),0.046341463414634146,0.04878048780487805,0.046341463414634146,1.0,20.5,1.0,0.04408090422367638,inf,0.9974424552429668,0.95,1.0,0.975
"frozenset({'mood swings', 'irritability', 'fatigue'})",frozenset({'abnormal menstruation'}),0.042682926829268296,0.04878048780487805,0.042682926829268296,1.0,20.5,1.0,0.04060083283759667,inf,0.9936305732484076,0.8750000000000001,1.0,0.9375
frozenset({'abnormal menstruation'}),"frozenset({'mood swings', 'irritability'})",0.04878048780487805,0.046341463414634146,0.046341463414634146,0.95,20.5,1.0,0.04408090422367638,19.0731707317073,1.0,0.95,0.9475703324808183,0.975
frozenset({'abnormal menstruation'}),"frozenset({'mood swings', 'fatigue'})",0.04878048780487805,0.042682926829268296,0.042682926829268296,0.875,20.5,1.0,0.04060083283759667,7.658536585365853,1.0,0.8750000000000001,0.8694267515923567,0.9375
